Query,Tweet_count,Username,Text,Created At,Retweets,Likes,Tokenized text,Lemmatized text,label
artificial intelligence,69,Richard🎧,mexclistings xteriogames how does xteriogamess ai gaming layer 2 ecosystem combine artificial intelligence with web3 technology to enhance player engagement and provide developers with nextgeneration tools for creating sophisticated gameplay experiences,Sat Jan 25 13:50:11 +0000 2025,0,0,"['mexclistings', 'xteriogames', 'how', 'does', 'xteriogamess', 'ai', 'gaming', 'layer', '2', 'ecosystem', 'combine', 'artificial', 'intelligence', 'with', 'web3', 'technology', 'to', 'enhance', 'player', 'engagement', 'and', 'provide', 'developers', 'with', 'nextgeneration', 'tools', 'for', 'creating', 'sophisticated', 'gameplay', 'experiences']","['mexclisting', 'xteriogame', 'how', 'do', 'xteriogamess', 'ai', 'gaming', 'layer', '2', 'ecosystem', 'combine', 'artificial', 'intelligence', 'with', 'web3', 'technology', 'to', 'enhance', 'player', 'engagement', 'and', 'provide', 'developer', 'with', 'nextgeneration', 'tool', 'for', 'create', 'sophisticated', 'gameplay', 'experience']",neutral
climate change,20,IL Energy Network,aclu warns university of illinois to respect free speech after officials clamp down on climate change group and palestinian group ,Sat Jan 25 14:19:40 +0000 2025,0,0,"['aclu', 'warns', 'university', 'of', 'illinois', 'to', 'respect', 'free', 'speech', 'after', 'officials', 'clamp', 'down', 'on', 'climate', 'change', 'group', 'and', 'palestinian', 'group']","['aclu', 'warn', 'university', 'of', 'illinois', 'to', 'respect', 'free', 'speech', 'after', 'official', 'clamp', 'down', 'on', 'climate', 'change', 'group', 'and', 'palestinian', 'group']",negative
sports,15,Terry Pluto,"what is happening with csu dropping 3 sports

",Sat Jan 25 14:36:02 +0000 2025,0,0,"['what', 'is', 'happening', 'with', 'csu', 'dropping', '3', 'sports']","['what', 'be', 'happen', 'with', 'csu', 'drop', '3', 'sport']",negative
space exploration,46,𝗚ʟ𝗔ᴅ𝗜ᴀ𝗧ᴏ𝗥 🤺,nithyasingh4 this series offers an unforgettable exploration of survival and human nature,Sat Jan 25 12:46:23 +0000 2025,0,0,"['nithyasingh4', 'this', 'series', 'offers', 'an', 'unforgettable', 'exploration', 'of', 'survival', 'and', 'human', 'nature']","['nithyasingh4', 'this', 'series', 'offer', 'an', 'unforgettable', 'exploration', 'of', 'survival', 'and', 'human', 'nature']",neutral
healthcare,66,NECDKing,berniesanders in canada private healthcare is illegal if the public doctors say you dont need something no recourse whatsoever i cannot opt to get an annual checkup because it was determined for me that i dont need it,Sat Jan 25 14:33:51 +0000 2025,0,0,"['berniesanders', 'in', 'canada', 'private', 'healthcare', 'is', 'illegal', 'if', 'the', 'public', 'doctors', 'say', 'you', 'dont', 'need', 'something', 'no', 'recourse', 'whatsoever', 'i', 'can', 'not', 'opt', 'to', 'get', 'an', 'annual', 'checkup', 'because', 'it', 'was', 'determined', 'for', 'me', 'that', 'i', 'dont', 'need', 'it']","['berniesander', 'in', 'canada', 'private', 'healthcare', 'be', 'illegal', 'if', 'the', 'public', 'doctor', 'say', 'you', 'do', 'not', 'need', 'something', 'no', 'recourse', 'whatsoever', 'I', 'can', 'not', 'opt', 'to', 'get', 'an', 'annual', 'checkup', 'because', 'it', 'be', 'determine', 'for', 'I', 'that', 'I', 'do', 'not', 'need', 'it']",neutral
space exploration,12,Pierre LAIGNEL,"transforming space exploration chinas astronauts achieve artificial photosynthesis in orbit converting co2 into oxygen and fuel a groundbreaking step towards sustainable missions and reduced reliance on earths resources
 ",Sat Jan 25 14:01:09 +0000 2025,0,0,"['transforming', 'space', 'exploration', 'chinas', 'astronauts', 'achieve', 'artificial', 'photosynthesis', 'in', 'orbit', 'converting', 'co2', 'into', 'oxygen', 'and', 'fuel', 'a', 'groundbreaking', 'step', 'towards', 'sustainable', 'missions', 'and', 'reduced', 'reliance', 'on', 'earths', 'resources']","['transform', 'space', 'exploration', 'china', 'astronaut', 'achieve', 'artificial', 'photosynthesis', 'in', 'orbit', 'convert', 'co2', 'into', 'oxygen', 'and', 'fuel', 'a', 'groundbreaking', 'step', 'towards', 'sustainable', 'mission', 'and', 'reduce', 'reliance', 'on', 'earth', 'resource']",positive
sports,32,Morning Journal Sports,elyria vs olmsted falls boys basketball bulldogs upset shakes up swc picture ,Sat Jan 25 14:35:38 +0000 2025,0,0,"['elyria', 'vs', 'olmsted', 'falls', 'boys', 'basketball', 'bulldogs', 'upset', 'shakes', 'up', 'swc', 'picture']","['elyria', 'vs', 'olmste', 'fall', 'boys', 'basketball', 'bulldog', 'upset', 'shake', 'up', 'swc', 'picture']",negative
elon musk,31,Elon Musk is a deadbeat dad,campariwithsalt gbnews i mean its fairly difficult dealing with mentally challenged clowns and pedophiles like you can i suggest you stay away from children they dont want you molesting them,Sat Jan 25 14:14:30 +0000 2025,0,0,"['campariwithsalt', 'gbnews', 'i', 'mean', 'its', 'fairly', 'difficult', 'dealing', 'with', 'mentally', 'challenged', 'clowns', 'and', 'pedophiles', 'like', 'you', 'can', 'i', 'suggest', 'you', 'stay', 'away', 'from', 'children', 'they', 'dont', 'want', 'you', 'molesting', 'them']","['campariwithsalt', 'gbnew', 'I', 'mean', 'its', 'fairly', 'difficult', 'dealing', 'with', 'mentally', 'challenge', 'clown', 'and', 'pedophile', 'like', 'you', 'can', 'I', 'suggest', 'you', 'stay', 'away', 'from', 'child', 'they', 'do', 'not', 'want', 'you', 'molest', 'they']",negative
artificial intelligence,15,Admiral Insurance? Pirates More Like,santanderukhelp still waiting for your complaints drone to be plugged in recharge and contact me i assume you use artificial intelligence since actual intelligence is lacking right across your cowboy operation,Sat Jan 25 14:07:43 +0000 2025,0,0,"['santanderukhelp', 'still', 'waiting', 'for', 'your', 'complaints', 'drone', 'to', 'be', 'plugged', 'in', 'recharge', 'and', 'contact', 'me', 'i', 'assume', 'you', 'use', 'artificial', 'intelligence', 'since', 'actual', 'intelligence', 'is', 'lacking', 'right', 'across', 'your', 'cowboy', 'operation']","['santanderukhelp', 'still', 'wait', 'for', 'your', 'complaint', 'drone', 'to', 'be', 'plug', 'in', 'recharge', 'and', 'contact', 'I', 'I', 'assume', 'you', 'use', 'artificial', 'intelligence', 'since', 'actual', 'intelligence', 'be', 'lack', 'right', 'across', 'your', 'cowboy', 'operation']",neutral
electric vehicles,94,Hung Nguyen Tuan,tristan5600 wayemeru schuldensuehner evergrandes collapse resulted from a combination of aggressive expansion excessive debt accumulation and regulatory changes founded in 1996 the company rapidly diversified into various sectors including real estate electric vehicles and theme parks often funding these,Sat Jan 25 10:35:53 +0000 2025,0,0,"['tristan5600', 'wayemeru', 'schuldensuehner', 'evergrandes', 'collapse', 'resulted', 'from', 'a', 'combination', 'of', 'aggressive', 'expansion', 'excessive', 'debt', 'accumulation', 'and', 'regulatory', 'changes', 'founded', 'in', '1996', 'the', 'company', 'rapidly', 'diversified', 'into', 'various', 'sectors', 'including', 'real', 'estate', 'electric', 'vehicles', 'and', 'theme', 'parks', 'often', 'funding', 'these']","['tristan5600', 'wayemeru', 'schuldensuehner', 'evergrande', 'collapse', 'result', 'from', 'a', 'combination', 'of', 'aggressive', 'expansion', 'excessive', 'debt', 'accumulation', 'and', 'regulatory', 'change', 'found', 'in', '1996', 'the', 'company', 'rapidly', 'diversify', 'into', 'various', 'sector', 'include', 'real', 'estate', 'electric', 'vehicle', 'and', 'theme', 'park', 'often', 'fund', 'these']",neutral
healthcare,79,Katniss,jdvancenewsx yes the same should be done for all the healthcare workers who lost their jobs because they refused to be force vaccinated,Sat Jan 25 14:33:04 +0000 2025,0,0,"['jdvancenewsx', 'yes', 'the', 'same', 'should', 'be', 'done', 'for', 'all', 'the', 'healthcare', 'workers', 'who', 'lost', 'their', 'jobs', 'because', 'they', 'refused', 'to', 'be', 'force', 'vaccinated']","['jdvancenewsx', 'yes', 'the', 'same', 'should', 'be', 'do', 'for', 'all', 'the', 'healthcare', 'worker', 'who', 'lose', 'their', 'job', 'because', 'they', 'refuse', 'to', 'be', 'force', 'vaccinate']",negative
artificial intelligence,29,Artificial Intelligence,propvstruth a fat child killer pig,Sat Jan 25 14:04:43 +0000 2025,0,0,"['propvstruth', 'a', 'fat', 'child', 'killer', 'pig']","['propvstruth', 'a', 'fat', 'child', 'killer', 'pig']",negative
bitcoin,38,Natrs.MD,gm from florida house is being purged selling everything including these couches  so we can list and buy more bitcoin ,Sat Jan 25 14:23:33 +0000 2025,0,0,"['gm', 'from', 'florida', 'house', 'is', 'being', 'purged', 'selling', 'everything', 'including', 'these', 'couches', 'so', 'we', 'can', 'list', 'and', 'buy', 'more', 'bitcoin']","['gm', 'from', 'florida', 'house', 'be', 'be', 'purge', 'sell', 'everything', 'include', 'these', 'couch', 'so', 'we', 'can', 'list', 'and', 'buy', 'more', 'bitcoin']",negative
climate change,85,TheRealBudBundy,"why is the mayor smiling about this constantly

i thought this was caused by catastrophic humanity threatening global climate change if thats the case why is this funny to her",Sat Jan 25 14:13:01 +0000 2025,0,0,"['why', 'is', 'the', 'mayor', 'smiling', 'about', 'this', 'constantly', 'i', 'thought', 'this', 'was', 'caused', 'by', 'catastrophic', 'humanity', 'threatening', 'global', 'climate', 'change', 'if', 'thats', 'the', 'case', 'why', 'is', 'this', 'funny', 'to', 'her']","['why', 'be', 'the', 'mayor', 'smile', 'about', 'this', 'constantly', 'I', 'think', 'this', 'be', 'cause', 'by', 'catastrophic', 'humanity', 'threaten', 'global', 'climate', 'change', 'if', 'that', 's', 'the', 'case', 'why', 'be', 'this', 'funny', 'to', 'she']",neutral
climate change,92,Col,nicolewildergh stellaparton 9 trump faced significant criticism for his handling of healthcare social issues and the environment with his detractors pointing to policies that they believe disadvantaged certain groups exacerbated climate change and led to a more divisive political climatewe now know,Sat Jan 25 14:11:59 +0000 2025,0,0,"['nicolewildergh', 'stellaparton', '9', 'trump', 'faced', 'significant', 'criticism', 'for', 'his', 'handling', 'of', 'healthcare', 'social', 'issues', 'and', 'the', 'environment', 'with', 'his', 'detractors', 'pointing', 'to', 'policies', 'that', 'they', 'believe', 'disadvantaged', 'certain', 'groups', 'exacerbated', 'climate', 'change', 'and', 'led', 'to', 'a', 'more', 'divisive', 'political', 'climatewe', 'now', 'know']","['nicolewildergh', 'stellaparton', '9', 'trump', 'face', 'significant', 'criticism', 'for', 'his', 'handling', 'of', 'healthcare', 'social', 'issue', 'and', 'the', 'environment', 'with', 'his', 'detractor', 'point', 'to', 'policy', 'that', 'they', 'believe', 'disadvantaged', 'certain', 'group', 'exacerbate', 'climate', 'change', 'and', 'lead', 'to', 'a', 'more', 'divisive', 'political', 'climatewe', 'now', 'know']",negative
elon musk,50,Beware of Elon Musk,fbi fbialbuquerque dei wussies like the fbi shouldnt pretend to be law enforcement,Sat Jan 25 14:14:09 +0000 2025,0,0,"['fbi', 'fbialbuquerque', 'dei', 'wussies', 'like', 'the', 'fbi', 'shouldnt', 'pretend', 'to', 'be', 'law', 'enforcement']","['fbi', 'fbialbuquerque', 'dei', 'wussie', 'like', 'the', 'fbi', 'should', 'not', 'pretend', 'to', 'be', 'law', 'enforcement']",neutral
global economy,85,Tessy🍂,strategic reforms implemented by kenya have not only stabilized the economy but also positioned the country as a model of growth and resilience in the region earning global recognition kenya declared positive progressyoucansee ,Sat Jan 25 13:11:23 +0000 2025,3,0,"['strategic', 'reforms', 'implemented', 'by', 'kenya', 'have', 'not', 'only', 'stabilized', 'the', 'economy', 'but', 'also', 'positioned', 'the', 'country', 'as', 'a', 'model', 'of', 'growth', 'and', 'resilience', 'in', 'the', 'region', 'earning', 'global', 'recognition', 'kenya', 'declared', 'positive', 'progressyoucansee']","['strategic', 'reform', 'implement', 'by', 'kenya', 'have', 'not', 'only', 'stabilize', 'the', 'economy', 'but', 'also', 'position', 'the', 'country', 'as', 'a', 'model', 'of', 'growth', 'and', 'resilience', 'in', 'the', 'region', 'earn', 'global', 'recognition', 'kenya', 'declare', 'positive', 'progressyoucansee']",positive
